Unnamed: 0,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length,Topsis Score,Rank
microsoft/DialoGPT-medium,0.0,0.2400850611376927,0.0289032258064516,0.1920964026227184,10.8,0.37038451268990663,5.0
suhasjain/DailoGPT-small-harrypotter,0.0,0.3021341231867548,0.0666666666666666,0.2525100630363788,5.0,0.7085282955327723,1.0
microsoft/DialoGPT-large,0.0,0.3184160666919288,0.0696969696969697,0.2738537324744221,7.0,0.6070822254234349,4.0
microsoft/DialoGPT-small,0.0,0.3120042530568846,0.0752136752136752,0.2909516214779373,5.2,0.6949883963274319,2.0
satvikag/chatbot,0.0,0.3827272727272728,0.0889510489510489,0.3393939393939394,5.8,0.6115467384227059,3.0
