,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length
microsoft/DialoGPT-medium,0.0,0.2400850611376927,0.028903225806451615,0.1920964026227184,10.8
suhasjain/DailoGPT-small-harrypotter,0.0,0.3021341231867548,0.06666666666666667,0.2525100630363788,5.0
microsoft/DialoGPT-large,0.0,0.3184160666919288,0.0696969696969697,0.27385373247442213,7.0
microsoft/DialoGPT-small,0.0,0.3120042530568846,0.07521367521367521,0.2909516214779373,5.2
satvikag/chatbot,0.0,0.3827272727272728,0.08895104895104895,0.3393939393939394,5.8
